MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1913358	Ndufa9	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"	6		mitochondrial respiratory chain complex I			IDA		J:206222 
MGI:1914523	Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	1		mitochondrial respiratory chain complex I			ISO	O95299 	J:164563 
MGI:1917125	Ndufa11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11	17		mitochondrial respiratory chain complex I			IBA	PTN001085916 	J:161428 
MGI:1913664	Ndufa12	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12"	10		mitochondrial respiratory chain complex I			IBA	PTN000308146 	J:161428 
MGI:1914434	Ndufa13	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13"	8		mitochondrial respiratory chain complex I			ISO	Q9P0J0 	J:164563 
MGI:1917566	Ndufab1	"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1"	7		mitochondrial respiratory chain complex I			ISO	O14561 	J:164563 
MGI:1915448	Ndufb2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2"	6		mitochondrial respiratory chain complex I			ISO	O95178 	J:164563 
MGI:1913745	Ndufb3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3	1		mitochondrial respiratory chain complex I			ISO	O43676 	J:164563 
MGI:1915444	Ndufb4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4	16		mitochondrial respiratory chain complex I			ISO	O95168 	J:164563 
MGI:1913296	Ndufb5	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5"	3		mitochondrial respiratory chain complex I			ISO	O43674 	J:164563 
MGI:2684983	Ndufb6	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6"	4		mitochondrial respiratory chain complex I			ISO	O95139 	J:164563 
MGI:1914166	Ndufb7	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7"	8		mitochondrial respiratory chain complex I			ISO	P17568 	J:164563 
MGI:1914514	Ndufb8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	19		mitochondrial respiratory chain complex I			IDA		J:206222 
MGI:1913468	Ndufb9	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9"	15		mitochondrial respiratory chain complex I			IBA	PTN000305443 	J:161428 
MGI:1915592	Ndufb10	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10"	17		mitochondrial respiratory chain complex I			IBA	PTN001405974 	J:161428 
MGI:1349919	Ndufb11	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11"	X		mitochondrial respiratory chain complex I			ISO	Q9NX14 	J:164563 
MGI:1913627	Ndufc1	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1"	3		mitochondrial respiratory chain complex I			IEA	IPR026192 	J:72247 
MGI:1344370	Ndufc2	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2"	7		mitochondrial respiratory chain complex I			ISO	O95298 	J:164563 
MGI:2443241	Ndufs1	NADH dehydrogenase (ubiquinone) Fe-S protein 1	1		mitochondrial respiratory chain complex I			IBA	PTN000177280 	J:161428 
MGI:2385112	Ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2	1		mitochondrial respiratory chain complex I			ISO	O75306 	J:164563 
MGI:1915599	Ndufs3	NADH dehydrogenase (ubiquinone) Fe-S protein 3	2		mitochondrial respiratory chain complex I			IDA		J:206222 
MGI:1343135	Ndufs4	NADH dehydrogenase (ubiquinone) Fe-S protein 4	13		mitochondrial respiratory chain complex I			IDA		J:62752 J:206222 
MGI:1890889	Ndufs5	NADH dehydrogenase (ubiquinone) Fe-S protein 5	4		mitochondrial respiratory chain complex I			IBA	PTN001032941 	J:161428 
MGI:107932	Ndufs6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	13		mitochondrial respiratory chain complex I			IBA	PTN000322556 	J:161428 
MGI:1922656	Ndufs7	NADH dehydrogenase (ubiquinone) Fe-S protein 7	10		mitochondrial respiratory chain complex I			ISO	O75251 	J:164563 
MGI:2385079	Ndufs8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	19		mitochondrial respiratory chain complex I			ISO	O00217 	J:164563 
MGI:107851	Ndufv1	NADH dehydrogenase (ubiquinone) flavoprotein 1	19		mitochondrial respiratory chain complex I			ISO	P49821 	J:164563 
MGI:1920150	Ndufv2	NADH dehydrogenase (ubiquinone) flavoprotein 2	17		mitochondrial respiratory chain complex I			IBA	PTN000042666 	J:161428 
MGI:1890894	Ndufv3	NADH dehydrogenase (ubiquinone) flavoprotein 3	17		mitochondrial respiratory chain complex I			ISO	P56181 	J:164563 
MGI:2135637	Park7	"Parkinson disease (autosomal recessive, early onset) 7"	4	colocalizes_with	mitochondrial respiratory chain complex I			ISO	Q99497 	J:164563 
